Id,Contact Owner Name,Created Time,Modified Time,Invalid Contact Dates
5805028000000939010,Nina Scott,2023-07-04 10:11:00,2024-04-16 16:14:00,False
5805028000000961001,Bob Brown,2023-07-03 20:17:00,2023-10-05 10:44:00,False
5805028000000971007,Julia Nelson,2023-07-04 11:46:00,2023-12-19 16:14:00,False
5805028000000983028,Bob Brown,2023-07-04 09:34:00,2023-07-17 19:43:00,False
5805028000001023002,Alice Johnson,2023-07-05 15:36:00,2023-07-17 19:43:00,False
5805028000001347003,Bob Brown,2023-07-08 11:38:00,2024-04-12 13:05:00,False
5805028000001348174,Jane Smith,2023-07-09 16:00:00,2023-10-11 18:20:00,False
5805028000001350049,Jane Smith,2023-07-08 08:55:00,2023-08-22 11:04:00,False
5805028000001361026,Bob Brown,2023-07-08 23:48:00,2023-07-17 19:42:00,False
5805028000001361061,Alice Johnson,2023-07-09 11:56:00,2023-07-17 19:42:00,False
5805028000001399190,Bob Brown,2023-07-10 09:38:00,2023-07-17 19:42:00,False
5805028000001404153,Nina Scott,2023-07-10 18:41:00,2024-04-29 19:10:00,False
5805028000001455025,Jane Smith,2023-07-11 12:39:00,2024-01-26 19:25:00,False
5805028000001486090,Bob Brown,2023-07-12 10:50:00,2023-07-17 19:41:00,False
5805028000001578037,Bob Brown,2023-07-12 19:19:00,2023-07-17 19:41:00,False
5805028000001676001,Bob Brown,2023-07-13 12:07:00,2023-07-17 19:41:00,False
5805028000001782001,Kevin Parker,2023-07-13 20:20:00,2023-09-29 00:38:00,False
5805028000001782077,Victor Barnes,2023-07-14 07:07:00,2024-05-17 21:29:00,False
5805028000001797053,Julia Nelson,2023-07-14 08:05:00,2023-09-19 11:52:00,False
5805028000001799001,Ian Miller,2023-07-13 21:13:00,2024-03-20 12:52:00,False
5805028000001812161,Bob Brown,2023-07-14 12:39:00,2023-07-17 19:40:00,False
5805028000001848023,George King,2023-07-14 20:24:00,2024-03-27 11:04:00,False
5805028000001880249,Jane Smith,2023-07-15 13:27:00,2023-08-30 12:46:00,False
5805028000001880503,Yara Edwards,2023-07-17 02:02:00,2024-05-26 11:24:00,False
5805028000001882098,Bob Brown,2023-07-15 02:15:00,2024-02-01 16:50:00,False
5805028000001883045,Bob Brown,2023-07-14 17:27:00,2023-07-17 19:40:00,False
5805028000001986077,Julia Nelson,2023-07-17 18:01:00,2024-02-15 23:47:00,False
5805028000002100030,Charlie Davis,2023-07-18 06:03:00,2023-09-13 17:47:00,False
5805028000002150769,Ulysses Adams,2023-07-18 09:46:00,2024-04-13 09:21:00,False
5805028000002294001,Bob Brown,2023-07-18 11:57:00,2023-10-12 22:28:00,False
5805028000002294737,Bob Brown,2023-07-18 16:33:00,2023-07-18 17:02:00,False
5805028000002302109,Julia Nelson,2023-07-18 21:11:00,2023-09-20 10:59:00,False
5805028000002302219,Jane Smith,2023-07-18 21:11:00,2023-08-21 19:17:00,False
5805028000002333161,Jane Smith,2023-07-19 11:54:00,2023-08-22 08:46:00,False
5805028000002350048,Ian Miller,2023-07-18 19:51:00,2024-01-04 10:15:00,False
5805028000002520001,Jane Smith,2023-07-19 23:12:00,2024-06-09 14:06:00,False
5805028000002560080,Victor Barnes,2023-07-20 11:36:00,2024-06-19 11:51:00,False
5805028000002579006,Nina Scott,2023-07-20 10:04:00,2024-05-30 19:59:00,False
5805028000002579058,Jane Smith,2023-07-20 11:38:00,2023-08-21 10:44:00,False
5805028000002618040,Jane Smith,2023-07-20 13:26:00,2023-07-20 13:49:00,False
5805028000002719033,Jane Smith,2023-07-20 20:46:00,2023-08-30 09:56:00,False
5805028000002736002,Bob Brown,2023-07-21 09:16:00,2023-07-21 09:17:00,False
5805028000002741001,Bob Brown,2023-07-21 08:12:00,2023-07-21 12:02:00,False
5805028000002771017,Kevin Parker,2023-07-21 10:57:00,2023-09-15 14:37:00,False
5805028000002822001,Julia Nelson,2023-07-21 14:16:00,2023-10-03 11:31:00,False
5805028000002895607,Bob Brown,2023-07-24 12:30:00,2024-01-15 19:29:00,False
5805028000002897203,Bob Brown,2023-07-22 22:23:00,2023-07-22 22:23:00,False
5805028000002897390,Bob Brown,2023-07-24 12:03:00,2024-04-29 14:44:00,False
5805028000002902161,Bob Brown,2023-07-22 21:34:00,2023-07-28 06:58:00,False
5805028000002906306,Bob Brown,2023-07-23 17:39:00,2023-07-23 17:40:00,False
5805028000002940047,Bob Brown,2023-07-22 15:27:00,2023-07-22 15:27:00,False
5805028000002940500,Bob Brown,2023-07-24 08:16:00,2023-07-24 08:16:00,False
5805028000002940571,Ulysses Adams,2023-07-24 12:06:00,2023-10-31 12:13:00,False
5805028000002940630,Julia Nelson,2023-07-24 12:55:00,2023-10-05 10:35:00,False
5805028000002942557,Bob Brown,2023-07-23 21:34:00,2024-01-12 18:33:00,False
5805028000002995197,Bob Brown,2023-07-25 08:53:00,2023-07-25 08:53:00,False
5805028000003007037,Jane Smith,2023-07-24 19:00:00,2023-09-18 17:46:00,False
5805028000003014152,Julia Nelson,2023-07-25 11:04:00,2024-05-31 00:26:00,False
5805028000003093106,Bob Brown,2023-07-26 16:59:00,2024-04-15 22:49:00,False
5805028000003105044,Bob Brown,2023-07-26 10:03:00,2023-07-26 10:03:00,False
5805028000003107068,Mason Roberts,2023-07-26 12:56:00,2023-10-29 10:00:00,False
5805028000003112233,Bob Brown,2023-07-26 15:32:00,2023-09-14 13:38:00,False
5805028000003112295,Bob Brown,2023-07-26 23:20:00,2023-07-26 23:20:00,False
5805028000003153184,Julia Nelson,2023-07-26 16:47:00,2023-10-04 23:15:00,False
5805028000003219087,Jane Smith,2023-07-27 15:17:00,2023-09-14 16:05:00,False
5805028000003274025,Jane Smith,2023-07-27 18:58:00,2023-09-06 18:34:00,False
5805028000003291160,Bob Brown,2023-07-28 07:53:00,2024-05-26 23:18:00,False
5805028000003298106,Amy Green,2023-07-28 09:09:00,2024-06-14 13:56:00,False
5805028000003307260,Bob Brown,2023-07-28 10:04:00,2023-10-14 11:43:00,False
5805028000003309138,Bob Brown,2023-07-28 04:58:00,2023-08-21 12:22:00,False
5805028000003329100,Ulysses Adams,2023-07-28 07:09:00,2023-11-07 13:45:00,False
5805028000003422640,Diana Evans,2023-07-31 12:17:00,2023-09-18 16:53:00,False
5805028000003434035,Ulysses Adams,2023-07-29 00:03:00,2024-04-20 06:03:00,False
5805028000003434260,Bob Brown,2023-07-30 10:18:00,2023-07-30 10:18:00,False
5805028000003442243,Bob Brown,2023-07-29 22:40:00,2023-07-29 22:40:00,False
5805028000003449250,Julia Nelson,2023-07-29 14:54:00,2023-10-22 22:52:00,False
5805028000003456259,Bob Brown,2023-07-29 10:33:00,2023-08-21 12:48:00,False
5805028000003456878,Jane Smith,2023-07-31 19:33:00,2024-03-11 19:04:00,False
5805028000003468691,Ulysses Adams,2023-08-01 01:24:00,2024-02-15 06:51:00,False
5805028000003473428,Ulysses Adams,2023-07-30 22:33:00,2023-08-09 10:17:00,False
5805028000003545351,Bob Brown,2023-08-02 19:11:00,2024-02-16 12:38:00,False
5805028000003551026,Ulysses Adams,2023-08-01 12:34:00,2024-06-17 19:10:00,False
5805028000003559235,Bob Brown,2023-08-01 19:03:00,2023-08-01 19:04:00,False
5805028000003559433,Ulysses Adams,2023-08-02 08:45:00,2023-09-19 13:31:00,False
5805028000003571383,Ulysses Adams,2023-08-02 08:47:00,2024-04-03 14:46:00,False
5805028000003573197,Jane Smith,2023-08-01 20:43:00,2023-08-01 20:52:00,False
5805028000003582304,Diana Evans,2023-08-02 07:41:00,2023-08-02 15:11:00,False
5805028000003582392,Diana Evans,2023-08-02 12:14:00,2023-08-02 15:33:00,False
5805028000003589048,Bob Brown,2023-08-01 11:05:00,2024-06-15 19:15:00,False
5805028000003597256,Ulysses Adams,2023-08-02 10:38:00,2024-04-20 08:19:00,False
5805028000003659169,Bob Brown,2023-08-03 13:37:00,2023-08-11 14:29:00,False
5805028000003660028,Bob Brown,2023-08-02 23:46:00,2024-05-06 12:21:00,False
5805028000003664120,Jane Smith,2023-08-03 12:23:00,2023-09-06 10:22:00,False
5805028000003669244,Bob Brown,2023-08-03 14:10:00,2023-08-03 15:12:00,False
5805028000003695181,Diana Evans,2023-08-03 16:01:00,2023-08-03 17:36:00,False
5805028000003698004,Diana Evans,2023-08-03 05:51:00,2023-08-20 13:57:00,False
5805028000003709107,Jane Smith,2023-08-03 12:03:00,2023-10-25 20:49:00,False
5805028000003818105,Ulysses Adams,2023-08-04 15:53:00,2023-08-04 16:45:00,False
5805028000003853013,Bob Brown,2023-08-04 20:41:00,2024-04-28 20:21:00,False
5805028000003854006,Bob Brown,2023-08-04 20:40:00,2023-08-10 23:27:00,False
5805028000003923336,Charlie Davis,2023-08-06 11:25:00,2023-08-09 18:44:00,False
5805028000003926286,Charlie Davis,2023-08-06 14:52:00,2023-09-09 19:40:00,False
5805028000003930715,Ulysses Adams,2023-08-07 13:12:00,2024-04-16 16:17:00,False
5805028000003943363,Bob Brown,2023-08-05 20:27:00,2023-08-05 20:32:00,False
5805028000003954013,Ulysses Adams,2023-08-05 11:15:00,2023-08-05 12:08:00,False
